user_id,username,num_posts,num_likes,num_comments,avg_engagement_rate
45,David.Osinski47,0,0,0,0.0000
49,Morgan.Kassulke,0,0,0,0.0000
51,Mariano_Koch3,10,0,0,0.0000
53,Linnea59,0,0,0,0.0000
54,Duane60,0,257,514,0.0000
57,Julien_Schmidt,0,257,514,0.0000
58,Aurelie71,16,0,0,0.0000
59,Cesar93,20,0,0,0.0000
64,Florence99,10,0,0,0.0000
66,Mike.Auer39,0,257,514,0.0000
68,Franco_Keebler64,0,0,0,0.0000
71,Nia_Haag,0,257,514,0.0000
74,Hulda.Macejkovic,0,0,0,0.0000
75,Leslie67,0,257,514,0.0000
76,Janelle.Nikolaus81,0,257,514,0.0000
77,Donald.Fritsch,12,0,0,0.0000
80,Darby_Herzog,0,0,0,0.0000
81,Esther.Zulauf61,0,0,0,0.0000
83,Bartholome.Bernhard,0,0,0,0.0000
86,Delfina_VonRueden68,18,0,0,0.0000
88,Clint27,22,0,0,0.0000
89,Jessyca_West,0,0,0,0.0000
90,Esmeralda.Mraz57,0,0,0,0.0000
91,Bethany20,0,257,514,0.0000
101,Kenton_Kirlin,0,0,0,0.0000
102,Andre_Purdy85,0,0,0,0.0000
103,Harley_Lind18,0,0,0,0.0000
104,Arely_Bogan63,0,0,0,0.0000
105,Aniya_Hackett,0,0,0,0.0000
106,Travon.Waters,0,0,0,0.0000
107,Kasandra_Homenick,0,0,0,0.0000
108,Tabitha_Schamberger11,0,0,0,0.0000
109,Gus93,0,0,0,0.0000
110,Presley_McClure,0,0,0,0.0000
111,Justina.Gaylord27,0,0,0,0.0000
112,Dereck65,0,0,0,0.0000
113,Alexandro35,0,0,0,0.0000
114,Jaclyn81,0,0,0,0.0000
115,Billy52,0,0,0,0.0000
116,Annalise.McKenzie16,0,0,0,0.0000
117,Norbert_Carroll35,0,0,0,0.0000
118,Odessa2,0,0,0,0.0000
119,Hailee26,0,0,0,0.0000
120,Delpha.Kihn,0,0,0,0.0000
121,Rocio33,0,0,0,0.0000
122,Kenneth64,0,0,0,0.0000
123,Eveline95,0,0,0,0.0000
124,Maxwell.Halvorson,0,0,0,0.0000
125,Tierra.Trantow,0,0,0,0.0000
126,Josianne.Friesen,0,0,0,0.0000
127,Darwin29,0,0,0,0.0000
128,Dario77,0,0,0,0.0000
129,Jaime53,0,0,0,0.0000
130,Kaley9,0,0,0,0.0000
131,Aiyana_Hoeger,0,0,0,0.0000
132,Irwin.Larson,0,0,0,0.0000
133,Yvette.Gottlieb91,0,0,0,0.0000
134,Pearl7,0,0,0,0.0000
135,Lennie_Hartmann40,0,0,0,0.0000
136,Ollie_Ledner37,0,0,0,0.0000
137,Yazmin_Mills95,0,0,0,0.0000
138,Jordyn.Jacobson2,0,0,0,0.0000
139,Kelsi26,0,0,0,0.0000
140,Rafael.Hickle2,0,0,0,0.0000
141,Mckenna17,0,0,0,0.0000
142,Maya.Farrell,0,0,0,0.0000
143,Janet.Armstrong,0,0,0,0.0000
144,Seth46,0,0,0,0.0000
145,David.Osinski47,0,0,0,0.0000
146,Malinda_Streich,0,0,0,0.0000
147,Harrison.Beatty50,0,0,0,0.0000
148,Granville_Kutch,0,0,0,0.0000
149,Morgan.Kassulke,0,0,0,0.0000
150,Gerard79,0,0,0,0.0000
151,Mariano_Koch3,0,0,0,0.0000
152,Zack_Kemmer93,0,0,0,0.0000
153,Linnea59,0,0,0,0.0000
154,Duane60,0,0,0,0.0000
155,Meggie_Doyle,0,0,0,0.0000
156,Peter.Stehr0,0,0,0,0.0000
157,Julien_Schmidt,0,0,0,0.0000
158,Aurelie71,0,0,0,0.0000
159,Cesar93,0,0,0,0.0000
160,Sam52,0,0,0,0.0000
161,Jayson65,0,0,0,0.0000
162,Ressie_Stanton46,0,0,0,0.0000
163,Elenor88,0,0,0,0.0000
164,Florence99,0,0,0,0.0000
165,Adelle96,0,0,0,0.0000
166,Mike.Auer39,0,0,0,0.0000
167,Emilio_Bernier52,0,0,0,0.0000
168,Franco_Keebler64,0,0,0,0.0000
169,Karley_Bosco,0,0,0,0.0000
170,Erick5,0,0,0,0.0000
171,Nia_Haag,0,0,0,0.0000
172,Kathryn80,0,0,0,0.0000
173,Jaylan.Lakin,0,0,0,0.0000
174,Hulda.Macejkovic,0,0,0,0.0000
175,Leslie67,0,0,0,0.0000
176,Janelle.Nikolaus81,0,0,0,0.0000
177,Donald.Fritsch,0,0,0,0.0000
178,Colten.Harris76,0,0,0,0.0000
179,Katarina.Dibbert,0,0,0,0.0000
180,Darby_Herzog,0,0,0,0.0000
181,Esther.Zulauf61,0,0,0,0.0000
182,Aracely.Johnston98,0,0,0,0.0000
183,Bartholome.Bernhard,0,0,0,0.0000
184,Alysa22,0,0,0,0.0000
185,Milford_Gleichner42,0,0,0,0.0000
186,Delfina_VonRueden68,0,0,0,0.0000
187,Rick29,0,0,0,0.0000
188,Clint27,0,0,0,0.0000
189,Jessyca_West,0,0,0,0.0000
190,Esmeralda.Mraz57,0,0,0,0.0000
191,Bethany20,0,0,0,0.0000
192,Frederik_Rice,0,0,0,0.0000
193,Willie_Leuschke,0,0,0,0.0000
194,Damon35,0,0,0,0.0000
195,Nicole71,0,0,0,0.0000
196,Keenan.Schamberger60,0,0,0,0.0000
197,Tomas.Beatty93,0,0,0,0.0000
198,Imani_Nicolas17,0,0,0,0.0000
199,Alek_Watsica,0,0,0,0.0000
200,Javonte83,0,0,0,0.0000
201,Kenton_Kirlin,0,0,0,0.0000
202,Andre_Purdy85,0,0,0,0.0000
203,Harley_Lind18,0,0,0,0.0000
204,Arely_Bogan63,0,0,0,0.0000
205,Aniya_Hackett,0,0,0,0.0000
206,Travon.Waters,0,0,0,0.0000
207,Kasandra_Homenick,0,0,0,0.0000
208,Tabitha_Schamberger11,0,0,0,0.0000
209,Gus93,0,0,0,0.0000
210,Presley_McClure,0,0,0,0.0000
211,Justina.Gaylord27,0,0,0,0.0000
212,Dereck65,0,0,0,0.0000
213,Alexandro35,0,0,0,0.0000
214,Jaclyn81,0,0,0,0.0000
215,Billy52,0,0,0,0.0000
216,Annalise.McKenzie16,0,0,0,0.0000
217,Norbert_Carroll35,0,0,0,0.0000
218,Odessa2,0,0,0,0.0000
219,Hailee26,0,0,0,0.0000
220,Delpha.Kihn,0,0,0,0.0000
221,Rocio33,0,0,0,0.0000
222,Kenneth64,0,0,0,0.0000
223,Eveline95,0,0,0,0.0000
224,Maxwell.Halvorson,0,0,0,0.0000
225,Tierra.Trantow,0,0,0,0.0000
226,Josianne.Friesen,0,0,0,0.0000
227,Darwin29,0,0,0,0.0000
228,Dario77,0,0,0,0.0000
229,Jaime53,0,0,0,0.0000
230,Kaley9,0,0,0,0.0000
231,Aiyana_Hoeger,0,0,0,0.0000
232,Irwin.Larson,0,0,0,0.0000
233,Yvette.Gottlieb91,0,0,0,0.0000
234,Pearl7,0,0,0,0.0000
235,Lennie_Hartmann40,0,0,0,0.0000
236,Ollie_Ledner37,0,0,0,0.0000
237,Yazmin_Mills95,0,0,0,0.0000
238,Jordyn.Jacobson2,0,0,0,0.0000
239,Kelsi26,0,0,0,0.0000
240,Rafael.Hickle2,0,0,0,0.0000
241,Mckenna17,0,0,0,0.0000
242,Maya.Farrell,0,0,0,0.0000
243,Janet.Armstrong,0,0,0,0.0000
244,Seth46,0,0,0,0.0000
245,David.Osinski47,0,0,0,0.0000
246,Malinda_Streich,0,0,0,0.0000
247,Harrison.Beatty50,0,0,0,0.0000
248,Granville_Kutch,0,0,0,0.0000
249,Morgan.Kassulke,0,0,0,0.0000
250,Gerard79,0,0,0,0.0000
251,Mariano_Koch3,0,0,0,0.0000
252,Zack_Kemmer93,0,0,0,0.0000
253,Linnea59,0,0,0,0.0000
254,Duane60,0,0,0,0.0000
255,Meggie_Doyle,0,0,0,0.0000
256,Peter.Stehr0,0,0,0,0.0000
257,Julien_Schmidt,0,0,0,0.0000
258,Aurelie71,0,0,0,0.0000
259,Cesar93,0,0,0,0.0000
260,Sam52,0,0,0,0.0000
261,Jayson65,0,0,0,0.0000
262,Ressie_Stanton46,0,0,0,0.0000
263,Elenor88,0,0,0,0.0000
264,Florence99,0,0,0,0.0000
265,Adelle96,0,0,0,0.0000
266,Mike.Auer39,0,0,0,0.0000
267,Emilio_Bernier52,0,0,0,0.0000
268,Franco_Keebler64,0,0,0,0.0000
269,Karley_Bosco,0,0,0,0.0000
270,Erick5,0,0,0,0.0000
271,Nia_Haag,0,0,0,0.0000
272,Kathryn80,0,0,0,0.0000
273,Jaylan.Lakin,0,0,0,0.0000
274,Hulda.Macejkovic,0,0,0,0.0000
275,Leslie67,0,0,0,0.0000
276,Janelle.Nikolaus81,0,0,0,0.0000
277,Donald.Fritsch,0,0,0,0.0000
278,Colten.Harris76,0,0,0,0.0000
279,Katarina.Dibbert,0,0,0,0.0000
280,Darby_Herzog,0,0,0,0.0000
281,Esther.Zulauf61,0,0,0,0.0000
282,Aracely.Johnston98,0,0,0,0.0000
283,Bartholome.Bernhard,0,0,0,0.0000
284,Alysa22,0,0,0,0.0000
285,Milford_Gleichner42,0,0,0,0.0000
286,Delfina_VonRueden68,0,0,0,0.0000
287,Rick29,0,0,0,0.0000
288,Clint27,0,0,0,0.0000
289,Jessyca_West,0,0,0,0.0000
290,Esmeralda.Mraz57,0,0,0,0.0000
291,Bethany20,0,0,0,0.0000
292,Frederik_Rice,0,0,0,0.0000
293,Willie_Leuschke,0,0,0,0.0000
294,Damon35,0,0,0,0.0000
295,Nicole71,0,0,0,0.0000
296,Keenan.Schamberger60,0,0,0,0.0000
297,Tomas.Beatty93,0,0,0,0.0000
298,Imani_Nicolas17,0,0,0,0.0000
299,Alek_Watsica,0,0,0,0.0000
300,Javonte83,0,0,0,0.0000
